cX,cY,Area,Peri
17,590,0.0,0.0
132,585,1.0,4.0
11,583,0.0,0.0
149,581,0.5,3.41
108,582,2.0,5.66
13,581,0.0,0.0
74,581,7.5,10.24
58,581,2.0,5.66
124,580,3.0,6.83
34,579,1.0,4.83
31,576,0.0,2.0
179,575,0.0,0.0
184,574,0.0,2.0
17,574,1.0,4.83
116,573,9.5,12.24
151,568,1.0,4.0
99,566,0.0,2.0
26,567,3.0,6.83
196,565,0.0,0.0
74,562,0.5,3.41
195,561,0.5,3.41
29,561,0.0,2.0
162,560,5.0,8.83
90,559,0.0,2.0
44,558,0.0,2.0
71,559,7.5,13.07
173,556,10.0,11.66
131,555,0.0,0.0
166,555,2.5,6.24
91,550,1.0,4.0
46,550,0.5,3.41
3,550,6.5,10.24
97,548,0.0,0.0
183,545,1.0,4.0
41,544,2.5,6.24
154,543,1.0,4.0
39,543,0.0,0.0
139,537,1.5,5.41
161,535,3.5,7.41
112,532,0.0,2.0
183,532,10.0,11.66
111,529,0.0,0.0
31,529,0.0,0.0
130,524,0.0,0.0
58,522,0.0,2.0
34,520,0.0,2.0
195,518,0.0,0.0
158,518,3.0,6.83
188,516,0.0,0.0
70,516,0.0,0.0
117,511,0.0,0.0
137,510,0.5,3.41
159,510,3.0,6.83
38,506,1.5,5.41
190,506,6.5,10.24
89,504,0.0,2.0
127,504,3.0,6.83
107,502,0.0,0.0
146,500,0.0,2.0
196,499,2.0,5.66
50,498,0.0,0.0
53,498,9.5,12.24
76,495,0.0,0.0
5,494,0.0,2.0
146,493,6.5,10.24
126,490,0.0,2.0
29,491,3.0,6.83
113,489,2.0,5.66
194,487,1.0,4.0
20,486,0.0,2.0
114,484,1.0,4.0
108,484,2.0,6.0
102,480,5.0,8.83
5,478,0.0,0.0
194,470,1.0,4.0
191,470,2.0,6.0
123,469,0.0,0.0
61,469,0.0,2.0
145,466,0.0,0.0
67,467,3.0,6.83
101,465,1.0,4.0
184,461,0.0,2.0
47,459,0.0,2.0
131,456,0.5,3.41
45,455,0.0,0.0
179,454,5.5,9.41
56,454,0.0,2.0
61,451,0.0,2.0
158,450,1.0,4.0
126,448,0.0,0.0
79,449,5.0,8.83
29,448,0.0,2.0
154,447,0.0,2.0
158,446,0.0,0.0
94,446,0.0,0.0
57,446,7.5,10.24
17,442,0.0,2.0
34,442,3.0,6.83
92,440,0.0,2.0
18,437,0.0,0.0
37,430,0.0,0.0
28,427,0.0,0.0
122,426,0.0,2.0
64,426,0.0,0.0
124,424,0.0,0.0
30,424,1.0,4.0
97,423,0.0,0.0
171,422,8.0,10.83
1,421,0.0,2.0
67,420,2.5,6.24
143,418,7.5,10.24
91,415,0.0,0.0
60,414,0.0,0.0
131,413,1.0,6.83
136,411,0.0,2.0
127,411,0.5,3.41
97,411,8.5,11.41
149,409,0.0,0.0
59,409,0.0,0.0
38,409,0.0,0.0
73,408,0.5,3.41
86,407,1.5,5.41
134,407,1.5,10.24
75,406,0.0,0.0
55,406,0.0,0.0
180,405,7.5,10.24
7,402,0.5,3.41
142,401,4.0,8.0
32,400,1.5,5.41
14,400,0.0,2.0
174,397,0.0,2.0
163,391,0.5,3.41
160,391,1.0,4.0
118,391,0.0,2.0
149,390,0.0,0.0
33,387,0.0,0.0
25,387,0.0,2.0
104,386,1.5,5.41
112,385,8.5,11.41
26,384,0.0,0.0
105,383,0.0,0.0
34,383,0.0,0.0
157,382,4.5,8.24
11,380,5.5,9.41
78,378,0.0,0.0
162,377,0.5,6.24
140,375,0.5,3.41
64,375,1.0,4.0
132,371,0.0,0.0
11,371,2.0,6.0
59,370,0.0,2.0
48,368,0.0,0.0
82,367,0.0,2.0
116,365,1.5,5.41
61,365,0.5,3.41
133,364,1.0,4.0
48,364,1.0,4.0
113,360,4.0,8.0
82,359,0.0,0.0
131,357,0.0,0.0
21,357,0.0,2.0
96,357,2.0,5.66
153,354,7.0,10.83
186,352,0.0,2.0
152,341,0.5,3.41
180,336,2.0,6.0
27,334,0.0,0.0
187,332,0.0,2.0
84,330,1.0,4.0
144,329,5.5,9.41
68,327,5.0,8.83
86,325,1.0,4.0
143,325,1.0,4.83
30,325,7.5,10.24
44,322,1.0,4.0
169,320,0.5,3.41
139,320,0.0,0.0
36,320,0.5,3.41
132,320,3.5,7.41
89,318,0.0,0.0
177,314,0.0,2.0
100,311,1.0,4.0
14,311,0.0,2.0
120,309,0.0,2.0
47,310,3.0,6.83
70,308,0.0,2.0
111,307,0.0,2.0
50,307,0.0,0.0
189,305,0.0,0.0
117,304,0.5,3.41
95,304,0.0,2.0
125,307,19.5,19.9
26,300,1.5,5.41
56,297,1.0,4.0
185,294,0.0,0.0
180,295,9.0,11.66
30,293,1.0,4.0
13,292,0.0,2.0
172,288,0.0,0.0
77,289,5.0,8.83
196,287,14.0,13.66
12,283,0.0,2.0
171,283,1.5,5.41
153,278,4.0,7.66
159,275,1.5,6.24
90,274,1.0,4.0
54,275,4.0,7.66
153,270,0.0,0.0
88,269,0.0,0.0
37,268,0.0,0.0
26,269,1.0,4.83
6,268,0.0,2.0
90,266,0.0,0.0
195,265,0.0,0.0
4,266,3.0,6.83
197,263,0.0,0.0
164,263,0.0,2.0
92,263,4.5,8.24
170,261,0.0,0.0
114,259,0.5,3.41
163,259,3.5,8.24
195,255,0.5,3.41
177,255,0.0,2.0
67,252,0.0,2.0
9,251,0.0,0.0
179,247,0.0,0.0
28,244,2.0,5.66
138,238,0.5,3.41
89,239,3.0,6.83
162,237,0.0,0.0
135,238,3.5,7.41
76,237,0.5,5.41
122,236,0.5,3.41
111,236,0.0,0.0
41,235,5.0,8.83
4,233,0.0,0.0
168,232,5.0,8.83
190,231,3.5,7.41
75,229,0.0,2.0
40,229,2.0,6.0
16,229,1.0,4.0
125,227,0.5,3.41
48,228,4.0,7.66
30,223,1.0,4.0
174,218,1.0,4.0
87,218,3.5,7.41
123,216,0.0,2.0
105,216,1.0,4.0
91,216,0.5,3.41
153,215,0.0,2.0
148,204,3.5,7.41
187,203,0.0,2.0
186,201,0.0,2.0
123,198,2.0,6.83
162,196,0.0,0.0
48,196,0.0,2.0
68,195,0.0,0.0
82,193,0.0,0.0
42,193,1.0,4.0
25,191,2.5,7.41
178,187,0.0,2.0
198,185,0.0,2.0
51,183,0.0,0.0
34,183,1.5,5.41
36,181,0.0,0.0
86,174,3.0,6.83
38,171,0.0,0.0
116,168,0.0,2.0
78,168,1.0,4.0
171,165,10.5,13.07
51,164,3.0,6.83
146,161,0.0,2.0
93,160,1.0,4.0
30,160,0.0,2.0
122,158,0.0,0.0
103,156,1.5,5.41
97,156,4.5,8.24
169,151,0.0,0.0
164,148,1.5,5.41
83,147,0.0,0.0
2,147,1.0,4.0
165,143,1.0,4.0
156,143,1.0,4.83
51,142,0.0,2.0
162,141,0.5,3.41
106,140,0.0,0.0
187,138,0.0,0.0
161,138,0.0,0.0
148,139,6.0,9.66
80,137,7.5,10.24
18,136,0.0,0.0
194,133,1.0,4.83
92,133,0.0,0.0
5,128,0.0,0.0
90,127,3.0,6.83
86,123,3.5,7.41
72,118,0.5,3.41
60,116,0.0,2.0
16,115,2.5,6.24
197,114,0.0,0.0
25,112,1.0,4.0
167,110,0.0,0.0
37,108,0.0,0.0
195,107,0.0,0.0
110,105,0.0,0.0
75,102,0.0,2.0
8,101,0.0,0.0
2,100,5.0,8.83
93,97,0.0,0.0
111,95,0.5,3.41
91,95,0.0,0.0
51,93,0.0,0.0
57,92,2.0,6.0
85,91,5.0,8.83
64,89,5.0,8.83
60,85,0.0,0.0
189,82,0.0,2.0
187,81,0.0,0.0
49,78,2.0,6.0
137,73,0.0,0.0
127,73,0.0,2.0
179,71,4.5,8.24
105,68,0.0,0.0
32,68,0.5,3.41
161,65,0.0,0.0
115,65,1.5,5.41
149,62,0.0,2.0
189,55,0.0,0.0
181,56,11.0,13.66
79,55,0.0,0.0
174,54,0.0,8.83
63,49,0.0,2.0
119,48,0.0,0.0
36,45,0.0,2.0
91,39,0.0,2.0
33,39,0.0,0.0
155,38,0.0,2.0
78,38,1.5,5.41
21,37,0.0,0.0
136,34,1.0,4.0
193,30,0.0,0.0
174,32,10.5,13.9
135,28,0.0,0.0
140,24,1.0,4.0
106,24,3.0,6.83
155,21,0.0,0.0
151,18,0.0,2.0
165,17,0.0,0.0
148,18,2.0,5.66
102,16,0.0,0.0
130,14,0.0,0.0
195,10,0.0,2.0
46,10,0.0,0.0
160,8,0.0,0.0
124,7,0.0,0.0
143,5,0.0,2.0
73,5,0.0,2.0
166,2,1.5,5.41
